Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72107141,1,"Thursday, November 14, 2013 02:16:01 UTC",37.7862,-121.9565,1.8,9.70,26,"San Francisco Bay area, California"
ci,11391434,3,"Thursday, November 14, 2013 01:53:32 UTC",34.1187,-117.4877,1.0,13.30,12,"Greater Los Angeles area, California"
pr,13318000,0,"Thursday, November 14, 2013 01:37:16 UTC",17.9188,-66.6548,1.8,16.00, 4,"Puerto Rico region"
ak,10845680,1,"Thursday, November 14, 2013 01:36:56 UTC",63.5140,-147.8074,1.6,0.00,19,"Central Alaska"
ak,10845671,2,"Thursday, November 14, 2013 01:15:49 UTC",51.4382,-178.9003,3.8,15.20,15,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391426,3,"Thursday, November 14, 2013 01:13:54 UTC",34.0245,-116.8493,1.2,22.30,31,"Southern California"
ak,10845639,1,"Thursday, November 14, 2013 00:54:07 UTC",63.0544,-149.6822,2.0,86.40,27,"Central Alaska"
uw,60629046,1,"Thursday, November 14, 2013 00:43:35 UTC",45.5450,-119.9412,2.0,0.00,26,"Oregon"
ak,10845634,1,"Thursday, November 14, 2013 00:39:52 UTC",59.9455,-148.9017,1.4,25.00, 4,"Kenai Peninsula, Alaska"
ci,11391418,4,"Thursday, November 14, 2013 00:33:51 UTC",34.3317,-118.6397,1.7,10.10,20,"Greater Los Angeles area, California"
ci,11391410,3,"Thursday, November 14, 2013 00:19:51 UTC",33.8757,-116.7897,1.0,16.50,31,"Southern California"
ci,11391402,3,"Thursday, November 14, 2013 00:07:46 UTC",36.1580,-118.0657,1.5,3.40,15,"Central California"
nn,00429109,1,"Thursday, November 14, 2013 00:06:16 UTC",39.7361,-119.5742,2.3,15.00,28,"Nevada"
uw,60629036,1,"Wednesday, November 13, 2013 23:48:37 UTC",45.6597,-122.3188,1.2,0.00,15,"Washington"
ci,11391394,2,"Wednesday, November 13, 2013 23:38:27 UTC",33.2343,-115.9655,1.3,3.90,24,"Southern California"
ci,11391386,3,"Wednesday, November 13, 2013 23:34:59 UTC",35.6695,-118.4623,1.4,10.10,13,"Central California"
nc,72107101,0,"Wednesday, November 13, 2013 23:21:52 UTC",36.5760,-121.0307,1.1,7.90, 9,"Central California"
nc,72107091,0,"Wednesday, November 13, 2013 23:06:18 UTC",36.0593,-120.6513,1.3,0.00, 8,"Central California"
ak,10849591,3,"Wednesday, November 13, 2013 22:58:12 UTC",63.3426,-142.8359,1.7,6.90,14,"Central Alaska"
nc,72107086,1,"Wednesday, November 13, 2013 22:57:58 UTC",37.3158,-121.6848,1.9,7.70,38,"Northern California"
ak,10845449,2,"Wednesday, November 13, 2013 22:52:11 UTC",61.8881,-151.0632,1.3,61.30,26,"Southern Alaska"
ci,11391378,4,"Wednesday, November 13, 2013 22:51:14 UTC",33.1055,-116.6133,1.0,11.50,26,"Southern California"
ak,10849589,2,"Wednesday, November 13, 2013 22:21:37 UTC",60.0175,-152.7676,1.7,112.80,18,"Southern Alaska"
ak,10845367,2,"Wednesday, November 13, 2013 22:08:43 UTC",62.0645,-145.1870,1.3,19.70,13,"Central Alaska"
ak,10849586,2,"Wednesday, November 13, 2013 21:44:00 UTC",53.2345,-167.0367,1.7,62.50,12,"Fox Islands, Aleutian Islands, Alaska"
ak,10845220,2,"Wednesday, November 13, 2013 21:40:11 UTC",61.1443,-147.0038,1.5,0.00, 9,"Southern Alaska"
ak,10845215,2,"Wednesday, November 13, 2013 21:32:55 UTC",62.0471,-149.8924,1.0,43.80,17,"Central Alaska"
ak,10849583,2,"Wednesday, November 13, 2013 21:11:19 UTC",63.1336,-150.4791,1.3,124.50,18,"Central Alaska"
ak,10849582,2,"Wednesday, November 13, 2013 21:10:16 UTC",51.4867,-178.6007,2.0,5.00, 9,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107031,1,"Wednesday, November 13, 2013 21:08:43 UTC",37.3167,-121.6867,1.9,7.60,36,"Northern California"
pr,13317002,0,"Wednesday, November 13, 2013 21:06:53 UTC",19.0130,-65.1546,3.2,30.00, 7,"Puerto Rico region"
pr,13317001,0,"Wednesday, November 13, 2013 20:59:24 UTC",17.8743,-67.1846,2.4,5.00,11,"Puerto Rico region"
ci,11391354,7,"Wednesday, November 13, 2013 20:58:14 UTC",33.8632,-117.4957,1.5,0.00,24,"Greater Los Angeles area, California"
nc,72107001,1,"Wednesday, November 13, 2013 20:47:18 UTC",37.7870,-121.9625,2.4,10.50,50,"San Francisco Bay area, California"
